Sample,Iterations
1,3397908
2,2718747
3,1185312
4,1122202
5,27999085
6,8999663
7,19397982
8,11475604
9,53261409
10,17794686
11,23502696
12,3346712
13,15777191
14,33147501
15,6410940
16,8329270
17,78467579
18,7510067
19,4724682
20,4659824
21,1315381
22,24022136
23,6224452
24,6572434
25,20135407
26,103608
27,18500872
28,317690
29,42558530
30,1684581
31,12364991
32,8762977
33,32425850
34,606737
35,35562210
36,8724036
37,3166615
38,2649446
39,32177493
40,6278081
41,19156477
42,6505830
43,67853094
44,5498045
45,16677676
46,6281748
47,3972227
48,375414
49,147979
50,20055399
